"product_name","product_url","product_price","product_stock","product_product_description"
"Alexa: 999 Best Things to Ask Alexa. Your Alexa Personal Assistant User Guide","https://www.amazon.com/Alexa-Things-Alexa-Personal-Assistant-ebook/dp/B07RK4ZLBX/ref=sr_1_44?keywords=smart+light&qid=1581984054&sr=8-44","$0.00
$0
.
00","",""
"SYLVANIA General Lighting 75540 Sylvania Smart+ ZigBee Outdoor Full Color Accent Light Expansion Kit","https://www.amazon.com/Sylvania-Smart-Home-75540-Expansion/dp/B07FK9QCNX/ref=sr_1_45?keywords=smart+light&qid=1581984054&sr=8-45","$13.50
$13
.
50
$19.99
$19.99","In Stock.",""
"LED WiFi Smart Light Bulb, E26 WiFi Light Bulb Compatible with Alexa Google Home and IFTTT, RGBCW Color Changing, Cool White and Warm White Dimmable, No Hub Required, A19 60W Equivalent (2 Pack)","https://www.amazon.com/LEGELITE-Dimmable-Changing-Required-Equivalent/dp/B07GR4SN63/ref=sr_1_46?keywords=smart+light&qid=1581984054&sr=8-46","$22.99
$22
.
99","In Stock.",""
"Kasa Smart Light Bulb by TP-Link – WiFi Bulbs, No Hub Required, Old Version, Works with Alexa & Google (LB110)","https://www.amazon.com/TP-Link-LB110-Smart-Wi-Fi-Dimmable/dp/B01HXM8XE2/ref=sr_1_47?keywords=smart+light&qid=1581984054&sr=8-47","$19.99
$19
.
99","In Stock.","Control your lighting from anywhere with the LB110. The smart bulb installs as easily as a standard light bulb, and connects to your home Wi-Fi in no time through the free Kasa app. Kasa also lets you manage your lights with your smartphone or tablet, including adjusting brightness, setting schedules and scenes, and tracking energy used. For added convenience, you can use your voice to control the LB110 when paired with Amazon Alexa. Protocols Supported: IEEE 802.11b/g/n; System Requirement: Android 4.1 or higher iOS 9.0 or higher; Wireless Type: 2.4GHz 1T1R"
"Smart LED RGB Light Bulb - Aoycocr 10W A21 E26 Soft White (2700K) Multicolor - 900 Lumens (85W Equivalent) - Compatible with Amazon Alexa and Google Assistant, No Hub Required (4 Pack)","https://www.amazon.com/Smart-LED-RGB-Light-Bulb/dp/B07T8DRZZ5/ref=sr_1_48?keywords=smart+light&qid=1581984054&sr=8-48","$40.99
$40
.
99
$45.99
$45.99","In Stock.",""
"SYLVANIA SMART+ ZigBee Indoor Starter Kit, Color Changing Light Strip, Works with SmartThings, Wink, and Amazon Echo Plus","https://www.amazon.com/SYLVANIA-Changing-Dimmable-SmartThings-Assistant/dp/B00R1PB80I/ref=sr_1_49?keywords=smart+light&qid=1581984642&sr=8-49","$17.00
$17
.
00","In Stock.",""
"GLOUE Selfie Light Ring Led Circle Clip-on Selfie Fill Light with 36 Led Bubbles USB Rechargeable Portable for iPhone, Smart Phones, Pads, Makeup Mirrors-Black, 1 Pack","https://www.amazon.com/GLOUE-Bubbles-Rechargeable-Portable-Mirrors-Black/dp/B07WD43MHJ/ref=sr_1_50?keywords=smart+light&qid=1581984642&sr=8-50","$9.99
$9
.
99","In Stock.",""
"ALITOVE Smart Light Bulb Bluetooth Mesh RGB White Color Changing Dimmable LED Bulbs, 4.5W 350LM E26 RGBW LED Night Lights, iOS Android App Controlled, Music Sync, Group Control, Timer Function","https://www.amazon.com/ALITOVE-Bluetooth-Changing-Dimmable-Controlled/dp/B07PDG8KFH/ref=sr_1_51?keywords=smart+light&qid=1581984642&sr=8-51","$11.99
$11
.
99","In Stock.",""
"Light Bulb Camera,Include 16GB Card 1080P WiFi Security Camera, 2MP Wireles IP LED Cam,360 Degrees Panoramic VR Indoor/Outdoor Home Surveillance Cameras,Motion Detection/Night Vision/Alarm","https://www.amazon.com/Include-Security-Panoramic-Surveillance-Detection/dp/B082S9PBHK/ref=sr_1_52?keywords=smart+light&qid=1581984642&sr=8-52","$32.99
$32
.
99","In Stock.",""
"SYLVANIA 74283 Dim Smart+ LED Light Bulb, A19 Dimmable White, 60W Equivalent, Works with SmartThings and Alexa, 10 Year Series, Dimmable Soft (packaging may vary)","https://www.amazon.com/SYLVANIA-74283-Equivalent-SmartThings-packaging/dp/B0727WZ3L2/ref=sr_1_53?keywords=smart+light&qid=1581984642&sr=8-53","$5.18
$5
.
18
$5.87
$5.87","In Stock.",""
